title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Classes & Camps | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center/classes;;1;6/23/2017 14:22;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary :;http://www.townofcary.org/Ho%E2%80%A6/Components/News/News/13310/715;;1;6/20/2017 13:34;;;;;;;;;;;;;;;;;;;;;;;
"""Town of Cary is Stirring Up Safe";"Spooky and Spectacular Halloween Activities for Triangle Kids | News List | Town of Cary""";http://www.townofcary.org/Home/Components/News/News/6413/19?npage=136&arch=1;What is the official date for trick-or-treating in Cary?  Thank you.;1;10/26/2017 12:33;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Heart of the Holidays Celebration | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration;;5;10/27/2017 21:20;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;10/27/2017 18:27;;;;;;;;;;;;;;;;;;;;;;;
Mills Park Phase II Project | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/parks-projects/mills-park-phase-ii-project;;1;10/17/2017 12:16;;;;;;;;;;;;;;;;;;;;;;;
Oxxford Hunt Greenway | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways/oxxford-hunt-greenway;;4;10/13/2017 12:29;;;;;;;;;;;;;;;;;;;;;;;
Garbage Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;;2;10/19/2017 16:43;;;;;;;;;;;;;;;;;;;;;;;
Gang Awareness | Town of Cary;http://www.townofcary.org/services-publications/police/community-services/gang-awareness;;5;10/14/2017 11:37;;;;;;;;;;;;;;;;;;;;;;;
Elections | Town of Cary;http://www.townofcary.org/mayor-council/town-council/about-town-council/council-districts/elections;;1;10/10/2017 17:47;;;;;;;;;;;;;;;;;;;;;;;
Minimum Housing | Town of Cary;http://www.townofcary.org/services-publications/housing/minimum-housing;;3;10/18/2017 12:14;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;;1;10/30/2017 13:14;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/police;"""This keep appearing on Craigslist";"and I think it's very fishy. https://raleigh.craigslist.org/zip/d/trs80-bitcoin-computer-make/6424363124.html """;3;12/13/2017 17:57;Service Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/Calendar/Event/2600/199?backlist=%2frecreation-enjoyment%2ffacilities%2fcary-arts-center;how do I pick up/reserve  a ticket at will call ?;1;12/14/2017 20:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;;1;12/14/2017 14:10;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;;3;12/14/2017 14:09;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/calendar/-selcat-29/-seldept-undefined/-seltag-;;1;12/10/2017 16:44;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;"""Is there a quiet way to alert the police that things are interesting at a certain location? I don't want to call and wake the baby inside";"or alert the neighbors outside that I would call about?""";3;4/10/2017 22:19;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Tennis Park Facility Expansion Project;http://www.townofcary.org/projects-initiatives/project-updates/facilities-projects/cary-tennis-park-facility-expansion-project;Would like to see a pic of the new numbering system for courts on your website so I can download it and print it out for my wall on the den;5;4/15/2017 12:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Teen Council;http://www.townofcary.org/recreation-enjoyment/special-populations/teens/teen-council;i couldnt find anything because i am an njhs member and want to vollunteer. But i cant find anything to do together with all my friends!;2;5/1/2017 16:51;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Getting to the Festival;http://www.townofcary.org/recreation-enjoyment/events/festivals/spring-daze-arts-and-crafts-festival/attend/directions-map-parking;I love the look of the site and it is super easy to navigate!;5;4/29/2017 8:23;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Garbage Collection;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;Holiday week garbage pickup schedule;1;4/11/2017 18:39;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Jobs & Employees;http://www.townofcary.org/connect-engage/jobs-employees;Could not get to employment opportunities.;1;5/1/2017 20:15;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Youth Sports;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports;No;1;4/27/2017 11:26;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Online Application;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival/apply/online-application;;1;4/10/2017 23:01;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;1;4/27/2017 15:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Fire Department;http://www.townofcary.org/connect-engage/town-departments-offices/fire-department;;5;4/27/2017 15:49;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Directory;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-alpha-H/-npage-3;"""No";"the email form did not confirm that the email was sent successfully after submitting. """;2;3/24/2017 8:22;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Rates and Fees;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/rates-and-fees;so I came home to try...no way to make reservation on line that I can tell. no one answers the phone or calls back. a bit frustrating to say the very least.;1;4/1/2017 11:17;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Enrolled Participants;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/enrolled-participants;how do you fill out permission slips;1;3/27/2017 20:48;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Film & Photography;http://www.townofcary.org/business-development/film-photography;Pls change the contact on this page to Carrie instead of me. Thx. Susan.;4;3/21/2017 10:48;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Programs & Classes;http://www.townofcary.org/recreation-enjoyment/programs-classes;Looking for more options for young chidren under four. Disappointing!;1;3/27/2017 14:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Programs & Classes;http://www.townofcary.org/recreation-enjoyment/programs-classes;Your program is not easily accessible/readable over the internet;1;3/16/2017 7:03;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;This website is not easy to navigate;1;3/28/2017 15:25;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Interactive Development Map;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;5;3/20/2017 20:02;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Arts & Culture;http://www.townofcary.org/recreation-enjoyment/arts-culture;;5;3/17/2017 15:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar;;1;4/1/2017 18:00;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Hi..I have recently obtained/established Water/Sewer/Trash/Recycle service from Town Of Cary. Need help to see if I can have online access and can check payment things and about Auto payment;4;5/19/2017 13:02;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Wheels on Academy | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/wheels-on-academy;"""would like to see a link to pictures of previous years of """"Wheels on Academy"""" to see what cars show up each year""";5;5/16/2017 18:26;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town Council | Town of Cary;http://www.townofcary.org/mayor-council/town-council;Links to Town Council member's emails does not appear to work.;1;5/23/2017 11:49;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""White Oak Creek Greenway Project";"Ph IV - MacArthur Drive to Davis Drive Segment | Town of Cary""";http://www.townofcary.org/projects-initiatives/project-updates/greenway-projects/white-oak-creek-greenway-ph-iv-macarthur-segment;;5;5/22/2017 16:57;;;;;;;;;;;;;;;;;;;;;;
"""Computers";"Electronics & Appliances | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/computers-electronics-appliances;;5;5/22/2017 10:07;;;;;;;;;;;;;;;;;;;;;;
Online Utility Payment | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;;1;5/30/2017 7:49;;;;;;;;;;;;;;;;;;;;;;;
Bank Draft Form | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/bank-draft-form;;5;5/19/2017 13:21;;;;;;;;;;;;;;;;;;;;;;;
Public Safety Day | Town of Cary;http://www.townofcary.org/services-publications/police/community-services/public-safety-day;;5;5/21/2017 9:48;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;2;6/1/2017 8:21;;;;;;;;;;;;;;;;;;;;;;;
News Releases | Town of Cary;http://www.townofcary.org/connect-engage/newsroom/news-releases;;5;5/29/2017 16:37;;;;;;;;;;;;;;;;;;;;;;;
Enrolled Participants | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/enrolled-participants;My daughter is enrolled in Bond Park Summer Day Camp next week.  How do I know which color group she is assigned to?;3;6/9/2017 14:59;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Recreation & Enjoyment | Town of Cary;http://www.townofcary.org/recreation-enjoyment;"""I was looking for youth basketball league";"but I guess this recreational center don't have that.""";3;6/9/2017 18:06;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Who's My Inspector | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/who-s-my-inspector;The inspections have not updated for today and I have to leave for work. They were supposed to update at 7am. Shannon Hathaway [REDACTED];1;6/6/2017 7:44;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;I want to unsubscribe from your site. CN you please tell me how to do? My contact details are [REDACTED];3;6/1/2017 10:49;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;Rendering on Chrome (version 59) remains broken. Linkw below GIANT circle are mangled and useless.;1;6/10/2017 11:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;Yes;5;6/16/2017 14:09;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Common Questions | Town of Cary;http://www.townofcary.org/services-publications/police/recruitment/common-questions;;5;6/7/2017 20:01;;;;;;;;;;;;;;;;;;;;;;;
Youth Sports | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports;;3;6/2/2017 10:32;;;;;;;;;;;;;;;;;;;;;;;
Meeting Calendar | Town of Cary;http://www.townofcary.org/mayor-council/meeting-calendar;;1;6/9/2017 14:29;;;;;;;;;;;;;;;;;;;;;;;
Sewer | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/sewer;;1;6/18/2017 21:35;;;;;;;;;;;;;;;;;;;;;;;
Jennifer Robinson | Town of Cary;http://www.townofcary.org/mayor-council/town-council/council-members/jennifer-robinson;The links to email the Town Council members do not work for me. I have tried them over a period of weeks.;1;5/9/2017 6:55;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Police | Town of Cary;http://www.townofcary.org/services-publications/police;How do I get my property back from the evidence room after my case has been decided?;1;5/13/2017 18:08;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;how do you log out?;3;5/9/2017 10:44;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;5/12/2017 16:33;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Junior Team Tennis (JTT);http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/juniors/junior-team-tennis-2023;;1;5/3/2017 17:23;;;;;;;;;;;;;;;;;;;;;;;
Staff Contacts | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/transportation-facilities/staff-contacts;;5;5/12/2017 17:07;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;4;5/5/2017 9:45;;;;;;;;;;;;;;;;;;;;;;;
Programs & Classes | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes;;1;5/15/2017 9:38;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;;5;5/5/2017 21:23;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/project-updates/greenway-projects/white-oak-creek-greenway-ph-v-american-tobacco-trail-connection;"""Are there more recent updates than this on white lake greenway?   I see a lot of work done already";"is it really not done till fall of 2019?""";3;12/4/2017 21:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes;Forgot to give you my name and email address re gifting registration and Open Studio to my sister. Sorry.  [REDACTED];4;12/8/2017 14:31;Service Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13692/715;I want to call you  but phone number is not clickable;2;12/6/2017 10:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/home;I don't see a login link anywhere on the homepage.;1;12/8/2017 8:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration/gifting-tree-project;;5;12/6/2017 16:49;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Town Manager's Office;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office;"""Your staff directory and the link to the town manager's office";are bothersome. The hot link does not open a window;or an email;"or show his phone number. Are you trying to make this more difficult than it needs to be? Your staff directory with 63 pages alphabetized is rather ridiculous too. Just have the departments as drop downs or hot links that can be opened and THEN searched. No one needs to wade through 63 pages!""";1;2/9/2017 10:22;Content/Function Requests;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;"""I had to do a """"search"""" to find the standard details.  I went through all sorts of tabs and links to try to find these in the places they would intuitively be.  Please consider making a link to the standard details and specifications more prominent off one of the main tabs.  It also appears the pdfs won't open. """;1;2/10/2017 15:25;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Town of Cary : Camp Information: Track-Out";Summer;"and School's Out""";http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out;;1;2/12/2017 8:40;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;im going to kill myslef;5;2/13/2017 11:32;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Erosion and Sedimentation Control;http://www.townofcary.org/services-publications/water-sewer/stormwater-management/erosion-and-sedimentation-control;;5;2/10/2017 9:46;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : About the Site;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/about-the-site;;1;2/18/2017 21:38;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Dog Parks;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;;1;2/15/2017 17:15;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Public Works;http://www.townofcary.org/connect-engage/town-departments-offices/public-works;;4;2/8/2017 10:43;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;;5;2/12/2017 9:37;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Contact the Town;http://www.townofcary.org/connect-engage/get-help;"""Glen";It may be helpful to identify this icon as the comment button.  I just stumbled on it and wondered what this purple thing was.  At least for me;"it wasn't very intuitive ... but I might not be your target audience!    """;3;2/23/2017 12:10;Look/Feel;;;;;;;;;;;;;;;;;;;;
Town of Cary : Aquastar;http://www.townofcary.org/services-publications/water-sewer/water/aquastar;"""Aquastar is a joke of a system";it does not give an accurate usage summary;"and the fact that Cary relentlessly promotes it is embarrassing.""";1;3/1/2017 16:25;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary : Frequently Asked Questions;http://www.townofcary.org/services-publications/water-sewer/water/reclaimed-water/frequently-asked-questions;I would like to be able find where reclaimed water is available;2;2/26/2017 13:03;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Utility Customer Service;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;HI;4;3/2/2017 12:01;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Feedback;http://www.townofcary.org/services-publications/residential-permits-inspections/customer-service-survey;;5;3/13/2017 12:22;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Public Hearing Cases;http://www.townofcary.org/connect-engage/transparency/public-hearings/public-hearing-cases;;3;3/6/2017 11:25;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Interactive Development Map;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;2;3/6/2017 17:41;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Arts Center;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center;;1;3/7/2017 8:36;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : GoCary;http://www.townofcary.org/services-publications/transit/gocary;;3;2/25/2017 10:48;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar;;1;3/15/2017 14:24;;;;;;;;;;;;;;;;;;;;;;;
Loose Leaf Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;"""Trying to find when my loose leaf pile will be picked up.  I see my zone";"but not the dates of the collections.""";2;11/7/2017 9:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;"""I would like to vote for the gingerbread competition. I cannot find the voting link online. I was told I could vote up until 12 noon tomorrow Saturday";"December 2""";1;12/1/2017 11:37;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration/gifting-tree-project;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration/gifting-tree-project  Last link on this page is broken.;3;12/1/2017 15:42;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Fixed Route Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;jobs;1;11/12/2017 21:36;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;On a scale of 1-10.....10.;5;11/12/2017 18:32;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Holiday Schedule | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;11/20/2017 22:25;;;;;;;;;;;;;;;;;;;;;;;
Curbside Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/curbside-recycling;;3;11/9/2017 7:59;;;;;;;;;;;;;;;;;;;;;;;
Cary Dog Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;;1;11/4/2017 11:12;;;;;;;;;;;;;;;;;;;;;;;
Elections | Town of Cary;http://www.townofcary.org/mayor-council/town-council/about-town-council/council-districts/elections;;5;11/2/2017 22:14;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration/christmas-tree-lighting;;5;12/1/2017 6:17;;;;;;;;;;;;;;;;;;;;;;;
Performance Guarantee Requirements | Town of Cary;https://www.townofcary.org/business-development/developing-in-cary/construction-permits-and-inspection/performance-guarantee-requirements;Yes I did;5;12/18/2017 7:23;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/inspections-permits;"""Easy to navigate";"was directed to the correct person the first time.  Thanks.""";5;12/15/2017 9:32;Other Comments;;;;;;;;;;;;;;;;;;;;;
Downtown Park | Town of Cary;https://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/downtown-park;;3;12/25/2017 14:11;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;12/25/2017 19:34;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/Calendar/Event/3568/148;;5;12/25/2017 14:10;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/rates-and-fees;I am playing on a team this spring and need to pay a fee for CTP (in addition to the USTA fee I've already paid) but I can't find where to pay it online.;4;1/8/2018 10:00;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Applications & Forms | Town of Cary;https://www.townofcary.org/business-development/applications-forms;I can not open the change of contractor file;1;12/28/2017 9:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/general-information;How much are the fees to play USTA leagues out of here?  Is there a membership fee required?  If so how much.;3;1/7/2018 12:03;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;I want to know where in North Carolina Cary is located. The maps are only of specific items within the town. Bummer.;2;1/3/2018 18:25;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";https://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;4;1/16/2018 10:01;;;;;;;;;;;;;;;;;;;;;;
Town of Cary Live | Town of Cary;https://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/live;;5;1/17/2018 17:44;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;12/27/2017 17:50;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;;1;1/18/2018 12:21;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/about-cary/cary-superlatives;;1;1/9/2018 14:40;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/project-updates/street-projects;"""I have questions about parking spaces in the street";"and can't seem to find the correct department to address this""";1;2/15/2018 8:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/housing/affordable-housing-initiative/affordable-senior-apartments-in-the-town-of-cary;Need info on building a tiny house;1;2/27/2018 10:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center/bond-park-calendar;Click on date and nothing comes up. Calendar not working.;1;2/26/2018 15:19;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes/programs-by-category;no...can't find where to actually register for track out camp...;2;2/11/2018 22:01;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;Where are the practices at?;4;2/12/2018 17:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;;1;2/15/2018 17:34;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;;4;2/22/2018 13:46;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/fire-department;;5;2/15/2018 8:06;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;5;2/17/2018 13:17;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;https://www.townofcary.org/connect-engage/calendar;;1;2/27/2018 21:20;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : GoCary;http://www.townofcary.org/services-publications/transit/gocary;Why isn't important info on this page? I need fare and schedule info not mission statements;1;2/2/2017 15:08;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;Where's staff email addresses? Not listed anymore? Why?;3;2/1/2017 19:46;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Green Hope Elementary Park;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/green-hope-elementary-park;;4;1/27/2017 12:10;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Holiday Schedule;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;2/3/2017 21:17;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Project Updates;http://www.townofcary.org/projects-initiatives/project-updates;;4;2/2/2017 14:55;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/get-help;"""It says on a search link";to subscribe to the email newsletter;"click a green envelope? I can find a way to sign up for the email notifications....""";3;1/19/2018 11:22;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/plans-publications-reports;"""Hi";"I am looking to speak someone about taking permit to remove the tree on my backyard """;4;1/30/2018 11:30;Service Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://townofcary.org;Checking for an alert or advisory as sirens are going off in odd patterns;2;1/19/2018 12:52;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;I was looking for news regarding when the trash would be picked up in our neighborhood. It is days overdue.;1;1/18/2018 19:04;Service Requests;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://townofcary.org/services-publications/garbage-recycling-yard-waste;;4;1/19/2018 10:30;;;;;;;;;;;;;;;;;;;;;;
Water Resources Department | Town of Cary;https://www.townofcary.org/connect-engage/town-departments-offices/water-resources-department;;5;1/29/2018 14:24;;;;;;;;;;;;;;;;;;;;;;;
Recycling | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling;;5;1/30/2018 22:48;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/discover-our-camps;;5;2/3/2018 10:07;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;2;1/29/2018 13:34;;;;;;;;;;;;;;;;;;;;;;;
