destination,type,weight
St. Louis,Beetroot,1.07
St. Louis,Beetroot,1.13
St. Louis,Taro,0.83
St. Louis,Beetroot,0.84
Minneapolis,Jicama,2.59
St. Louis,Rutabaga,3.4
St. Louis,Rutabaga,2.73
St. Louis,Jicama,1.66
St. Louis,Rutabaga,1.76
St. Louis,Yam,3.09
St. Louis,Taro,2.54
St. Louis,Beetroot,2.33
St. Louis,Yam,2.22
St. Louis,Taro,1.17
Minneapolis,Rutabaga,2.42
St. Louis,Yam,2.38
Minneapolis,Rutabaga,1.88
St. Louis,Beetroot,0.44
St. Louis,Rutabaga,2.71
St. Louis,Rutabaga,3.55
St. Louis,Taro,0.75
Minneapolis,Beetroot,0.1
Minneapolis,Yam,2.79
St. Louis,Yam,2.65
St. Louis,Beetroot,0.38
St. Louis,Rutabaga,1.79
St. Louis,Beetroot,2.12
Minneapolis,Beetroot,2.24
Minneapolis,Rutabaga,2.77
St. Louis,Beetroot,0.1
Minneapolis,Jicama,3.59
St. Louis,Beetroot,0.63
St. Louis,Yam,3.49
Minneapolis,Rutabaga,2.41
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,2.47
St. Louis,Jicama,2.72
St. Louis,Taro,1.99
St. Louis,Beetroot,0.1
Minneapolis,Beetroot,2.35
St. Louis,Jicama,2.22
Minneapolis,Yam,3.8
Minneapolis,Taro,3.2
Minneapolis,Rutabaga,1.12
St. Louis,Jicama,3.27
St. Louis,Rutabaga,2.22
Minneapolis,Beetroot,1.56
Minneapolis,Beetroot,1.57
Minneapolis,Yam,2.66
St. Louis,Beetroot,1.11
Minneapolis,Rutabaga,2.89
St. Louis,Beetroot,0.5
Minneapolis,Beetroot,1.86
Minneapolis,Taro,1.22
Minneapolis,Rutabaga,5.09
St. Louis,Rutabaga,3.79
Minneapolis,Beetroot,1.51
St. Louis,Rutabaga,3.37
St. Louis,Jicama,4.33
Minneapolis,Rutabaga,1.22
Minneapolis,Taro,1.46
St. Louis,Taro,1.22
St. Louis,Rutabaga,2.52
St. Louis,Beetroot,0.98
St. Louis,Yam,2.65
St. Louis,Beetroot,0.81
St. Louis,Jicama,1.0
St. Louis,Beetroot,2.43
St. Louis,Beetroot,0.28
Minneapolis,Jicama,0.41
St. Louis,Rutabaga,2.72
St. Louis,Taro,0.1
St. Louis,Rutabaga,1.53
St. Louis,Beetroot,0.18
Minneapolis,Yam,4.73
Minneapolis,Rutabaga,3.39
Minneapolis,Beetroot,0.63
Minneapolis,Beetroot,0.1
Minneapolis,Jicama,2.09
St. Louis,Taro,1.82
Minneapolis,Jicama,2.79
St. Louis,Beetroot,1.58
Minneapolis,Rutabaga,1.2
St. Louis,Taro,2.42
Minneapolis,Taro,0.56
St. Louis,Beetroot,1.49
St. Louis,Beetroot,0.69
St. Louis,Rutabaga,2.37
St. Louis,Beetroot,1.45
St. Louis,Rutabaga,3.01
St. Louis,Rutabaga,4.36
Minneapolis,Jicama,3.61
Minneapolis,Beetroot,2.17
Minneapolis,Rutabaga,1.17
St. Louis,Beetroot,0.39
St. Louis,Rutabaga,3.14
St. Louis,Beetroot,2.45
St. Louis,Beetroot,0.62
Minneapolis,Rutabaga,2.38
St. Louis,Rutabaga,2.91
