destination,type,weight
St. Louis,Rutabaga,3.62
St. Louis,Rutabaga,4.1
Minneapolis,Beetroot,0.54
St. Louis,Rutabaga,3.56
St. Louis,Rutabaga,5.36
St. Louis,Taro,0.3
Minneapolis,Beetroot,1.97
St. Louis,Rutabaga,4.23
St. Louis,Rutabaga,3.59
St. Louis,Beetroot,0.1
St. Louis,Jicama,0.81
Minneapolis,Beetroot,0.81
St. Louis,Jicama,0.94
St. Louis,Taro,1.55
St. Louis,Beetroot,1.12
Minneapolis,Beetroot,1.1
Minneapolis,Yam,3.21
St. Louis,Jicama,3.7
St. Louis,Beetroot,1.94
Minneapolis,Yam,1.78
Minneapolis,Beetroot,1.27
Minneapolis,Beetroot,0.1
St. Louis,Jicama,2.09
St. Louis,Beetroot,1.3
St. Louis,Rutabaga,2.8
Minneapolis,Rutabaga,4.15
St. Louis,Yam,2.03
St. Louis,Rutabaga,3.62
Minneapolis,Beetroot,2.52
St. Louis,Beetroot,0.37
St. Louis,Jicama,1.93
St. Louis,Beetroot,1.12
Minneapolis,Beetroot,0.1
St. Louis,Beetroot,1.02
St. Louis,Rutabaga,1.4
St. Louis,Rutabaga,1.52
Minneapolis,Beetroot,1.28
St. Louis,Beetroot,1.04
St. Louis,Rutabaga,2.66
Minneapolis,Beetroot,2.64
Minneapolis,Beetroot,1.91
St. Louis,Jicama,2.51
St. Louis,Rutabaga,1.57
St. Louis,Rutabaga,2.82
Minneapolis,Yam,1.97
St. Louis,Taro,0.52
St. Louis,Beetroot,0.26
St. Louis,Beetroot,0.62
Minneapolis,Beetroot,0.1
St. Louis,Beetroot,0.72
St. Louis,Beetroot,2.5
St. Louis,Rutabaga,1.93
St. Louis,Jicama,1.4
St. Louis,Beetroot,0.73
Minneapolis,Rutabaga,2.32
St. Louis,Yam,3.38
Minneapolis,Jicama,2.25
St. Louis,Taro,0.53
St. Louis,Rutabaga,2.99
Minneapolis,Jicama,2.7
Minneapolis,Beetroot,0.32
Minneapolis,Rutabaga,2.94
St. Louis,Rutabaga,2.89
St. Louis,Rutabaga,2.32
Minneapolis,Rutabaga,4.87
St. Louis,Yam,2.75
St. Louis,Taro,0.7
St. Louis,Rutabaga,0.57
St. Louis,Yam,2.9
St. Louis,Jicama,1.98
Minneapolis,Yam,1.42
St. Louis,Yam,3.88
St. Louis,Beetroot,0.71
St. Louis,Beetroot,2.71
St. Louis,Jicama,3.06
St. Louis,Jicama,1.63
St. Louis,Rutabaga,2.68
St. Louis,Rutabaga,3.13
St. Louis,Jicama,2.42
St. Louis,Rutabaga,4.42
St. Louis,Rutabaga,4.44
Minneapolis,Taro,1.08
St. Louis,Rutabaga,3.48
St. Louis,Rutabaga,3.72
St. Louis,Rutabaga,1.88
Minneapolis,Rutabaga,2.51
St. Louis,Beetroot,0.95
St. Louis,Rutabaga,4.14
St. Louis,Rutabaga,2.73
St. Louis,Yam,2.36
Minneapolis,Jicama,1.29
Minneapolis,Beetroot,0.22
Minneapolis,Jicama,1.93
St. Louis,Taro,1.44
St. Louis,Rutabaga,3.19
St. Louis,Jicama,2.72
St. Louis,Yam,2.49
St. Louis,Taro,0.9
St. Louis,Jicama,2.39
St. Louis,Beetroot,0.43
