destination,type,weight
St. Louis,Beetroot,2.84
St. Louis,Rutabaga,0.5
St. Louis,Beetroot,1.75
St. Louis,Beetroot,0.42
St. Louis,Taro,1.95
St. Louis,Jicama,1.94
St. Louis,Jicama,0.1
St. Louis,Rutabaga,4.17
Minneapolis,Rutabaga,3.74
Minneapolis,Jicama,2.11
St. Louis,Beetroot,1.66
St. Louis,Rutabaga,1.84
St. Louis,Jicama,2.98
St. Louis,Beetroot,0.94
Minneapolis,Taro,0.28
Minneapolis,Rutabaga,3.26
Minneapolis,Rutabaga,1.42
St. Louis,Rutabaga,4.09
St. Louis,Jicama,3.08
St. Louis,Jicama,1.1
St. Louis,Beetroot,0.41
St. Louis,Yam,3.89
St. Louis,Rutabaga,3.98
St. Louis,Jicama,1.4
St. Louis,Beetroot,0.1
Minneapolis,Rutabaga,2.92
Minneapolis,Beetroot,1.66
St. Louis,Rutabaga,3.7
St. Louis,Jicama,1.35
Minneapolis,Taro,0.89
St. Louis,Jicama,0.58
Minneapolis,Jicama,3.07
St. Louis,Jicama,3.84
St. Louis,Taro,1.08
St. Louis,Yam,4.58
St. Louis,Taro,2.34
Minneapolis,Beetroot,0.1
St. Louis,Beetroot,1.02
Minneapolis,Beetroot,1.08
Minneapolis,Beetroot,1.94
St. Louis,Rutabaga,1.26
St. Louis,Yam,1.8
St. Louis,Yam,3.59
St. Louis,Rutabaga,3.25
Minneapolis,Beetroot,1.59
St. Louis,Jicama,0.98
Minneapolis,Rutabaga,3.41
St. Louis,Yam,3.64
Minneapolis,Beetroot,0.74
Minneapolis,Beetroot,0.95
St. Louis,Beetroot,0.91
St. Louis,Rutabaga,5.13
St. Louis,Rutabaga,3.24
Minneapolis,Taro,0.1
Minneapolis,Beetroot,0.82
St. Louis,Beetroot,2.26
St. Louis,Rutabaga,1.31
Minneapolis,Beetroot,0.42
St. Louis,Taro,1.29
St. Louis,Taro,1.58
Minneapolis,Taro,1.66
Minneapolis,Beetroot,0.53
St. Louis,Rutabaga,4.28
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,0.22
St. Louis,Taro,0.1
Minneapolis,Jicama,2.11
St. Louis,Rutabaga,4.7
St. Louis,Jicama,1.61
St. Louis,Rutabaga,3.69
St. Louis,Rutabaga,2.74
St. Louis,Yam,3.41
Minneapolis,Beetroot,0.21
Minneapolis,Rutabaga,3.05
St. Louis,Rutabaga,2.99
St. Louis,Jicama,2.51
St. Louis,Beetroot,0.69
Minneapolis,Yam,1.71
St. Louis,Jicama,0.73
Minneapolis,Rutabaga,2.12
St. Louis,Beetroot,0.1
St. Louis,Taro,0.1
St. Louis,Jicama,2.43
St. Louis,Beetroot,1.57
St. Louis,Yam,3.79
St. Louis,Rutabaga,4.28
St. Louis,Rutabaga,1.68
St. Louis,Jicama,3.5
St. Louis,Rutabaga,3.84
Minneapolis,Taro,0.1
St. Louis,Taro,0.54
Minneapolis,Yam,4.2
Minneapolis,Jicama,1.23
St. Louis,Rutabaga,0.56
St. Louis,Rutabaga,3.81
St. Louis,Rutabaga,2.68
St. Louis,Rutabaga,2.5
St. Louis,Taro,0.63
St. Louis,Taro,0.1
St. Louis,Rutabaga,2.36
