destination,type,weight
St. Louis,Beetroot,0.15
St. Louis,Beetroot,0.41
Minneapolis,Beetroot,1.24
St. Louis,Jicama,1.37
Minneapolis,Taro,3.19
St. Louis,Beetroot,0.38
Minneapolis,Rutabaga,2.74
St. Louis,Rutabaga,1.74
Minneapolis,Beetroot,0.28
St. Louis,Yam,2.3
Minneapolis,Beetroot,0.1
St. Louis,Yam,2.17
St. Louis,Rutabaga,2.04
St. Louis,Beetroot,2.52
St. Louis,Yam,3.32
St. Louis,Taro,0.72
St. Louis,Rutabaga,2.72
St. Louis,Rutabaga,3.1
Minneapolis,Yam,2.69
St. Louis,Beetroot,1.34
St. Louis,Rutabaga,2.13
Minneapolis,Jicama,1.03
Minneapolis,Taro,0.1
Minneapolis,Jicama,1.46
St. Louis,Beetroot,2.24
Minneapolis,Rutabaga,2.83
St. Louis,Jicama,2.72
St. Louis,Rutabaga,2.91
St. Louis,Rutabaga,3.63
St. Louis,Yam,1.58
St. Louis,Jicama,2.4
St. Louis,Beetroot,0.91
St. Louis,Taro,0.76
St. Louis,Jicama,0.95
St. Louis,Rutabaga,2.06
St. Louis,Beetroot,1.4
St. Louis,Beetroot,0.26
St. Louis,Taro,0.31
Minneapolis,Taro,1.73
St. Louis,Rutabaga,2.61
St. Louis,Beetroot,0.79
Minneapolis,Rutabaga,3.49
St. Louis,Yam,2.78
Minneapolis,Beetroot,0.1
St. Louis,Rutabaga,2.27
St. Louis,Beetroot,0.22
Minneapolis,Jicama,2.79
St. Louis,Jicama,2.66
Minneapolis,Beetroot,1.35
St. Louis,Beetroot,1.35
St. Louis,Beetroot,1.53
St. Louis,Rutabaga,4.71
St. Louis,Beetroot,0.82
Minneapolis,Rutabaga,2.25
St. Louis,Beetroot,1.27
St. Louis,Jicama,0.4
St. Louis,Jicama,1.74
Minneapolis,Jicama,3.4
St. Louis,Rutabaga,1.77
St. Louis,Rutabaga,3.78
St. Louis,Taro,1.12
St. Louis,Rutabaga,2.7
Minneapolis,Beetroot,0.1
St. Louis,Jicama,0.1
St. Louis,Yam,2.32
St. Louis,Rutabaga,2.47
St. Louis,Rutabaga,1.91
Minneapolis,Beetroot,1.36
Minneapolis,Yam,4.04
St. Louis,Beetroot,0.24
St. Louis,Beetroot,2.25
Minneapolis,Taro,0.1
St. Louis,Beetroot,1.17
St. Louis,Taro,0.1
St. Louis,Rutabaga,1.45
Minneapolis,Beetroot,2.6
St. Louis,Yam,4.11
Minneapolis,Yam,4.53
Minneapolis,Jicama,1.94
St. Louis,Jicama,2.13
St. Louis,Jicama,1.02
St. Louis,Taro,1.29
St. Louis,Beetroot,1.57
St. Louis,Yam,2.22
St. Louis,Rutabaga,2.97
St. Louis,Beetroot,0.1
St. Louis,Jicama,2.65
St. Louis,Jicama,4.48
St. Louis,Rutabaga,3.3
Minneapolis,Rutabaga,1.8
St. Louis,Beetroot,0.18
St. Louis,Jicama,1.36
St. Louis,Rutabaga,2.91
St. Louis,Beetroot,1.21
Minneapolis,Yam,2.38
Minneapolis,Jicama,1.93
St. Louis,Taro,0.1
Minneapolis,Rutabaga,4.87
St. Louis,Rutabaga,1.67
St. Louis,Rutabaga,2.94
