destination,type,weight
St. Louis,Rutabaga,4.01
Minneapolis,Rutabaga,3.71
St. Louis,Beetroot,1.28
St. Louis,Rutabaga,2.7
St. Louis,Yam,3.83
St. Louis,Beetroot,0.1
St. Louis,Beetroot,0.39
St. Louis,Beetroot,2.51
St. Louis,Beetroot,1.49
St. Louis,Beetroot,0.52
St. Louis,Rutabaga,3.8
Minneapolis,Rutabaga,3.19
St. Louis,Jicama,1.45
St. Louis,Yam,2.78
St. Louis,Yam,4.16
Minneapolis,Jicama,0.77
Minneapolis,Beetroot,1.55
Minneapolis,Beetroot,0.1
St. Louis,Yam,4.09
St. Louis,Taro,1.17
St. Louis,Rutabaga,1.29
St. Louis,Rutabaga,2.12
St. Louis,Jicama,3.34
Minneapolis,Beetroot,1.33
St. Louis,Jicama,2.14
St. Louis,Jicama,1.64
St. Louis,Rutabaga,3.01
St. Louis,Beetroot,2.03
St. Louis,Taro,0.6
St. Louis,Yam,2.51
St. Louis,Jicama,2.68
Minneapolis,Beetroot,0.1
Minneapolis,Rutabaga,2.8
St. Louis,Beetroot,2.21
St. Louis,Beetroot,1.8
St. Louis,Rutabaga,2.79
St. Louis,Rutabaga,2.91
St. Louis,Beetroot,1.76
St. Louis,Yam,3.35
St. Louis,Rutabaga,1.62
St. Louis,Taro,1.22
Minneapolis,Rutabaga,2.56
Minneapolis,Rutabaga,3.54
St. Louis,Beetroot,1.89
St. Louis,Yam,2.93
St. Louis,Taro,1.37
St. Louis,Beetroot,0.24
St. Louis,Jicama,1.75
St. Louis,Jicama,1.56
St. Louis,Rutabaga,3.67
St. Louis,Beetroot,1.77
St. Louis,Jicama,1.67
Minneapolis,Yam,3.55
Minneapolis,Rutabaga,1.15
St. Louis,Beetroot,0.15
St. Louis,Jicama,1.71
St. Louis,Jicama,3.61
St. Louis,Jicama,2.55
Minneapolis,Taro,0.1
St. Louis,Jicama,2.54
St. Louis,Taro,0.78
St. Louis,Rutabaga,3.75
St. Louis,Beetroot,1.02
St. Louis,Yam,1.82
St. Louis,Rutabaga,3.88
St. Louis,Jicama,2.18
St. Louis,Jicama,0.1
St. Louis,Taro,0.1
Minneapolis,Rutabaga,0.32
St. Louis,Beetroot,0.1
St. Louis,Jicama,3.16
St. Louis,Taro,0.1
St. Louis,Rutabaga,3.24
Minneapolis,Beetroot,0.96
St. Louis,Rutabaga,3.51
Minneapolis,Jicama,1.32
Minneapolis,Taro,1.96
St. Louis,Yam,0.8
Minneapolis,Jicama,1.68
St. Louis,Jicama,1.8
St. Louis,Jicama,1.04
St. Louis,Yam,3.23
Minneapolis,Yam,2.66
St. Louis,Rutabaga,3.18
St. Louis,Yam,1.19
St. Louis,Taro,0.99
St. Louis,Beetroot,0.97
Minneapolis,Yam,2.95
Minneapolis,Jicama,3.48
St. Louis,Beetroot,2.45
St. Louis,Yam,2.83
St. Louis,Beetroot,0.21
St. Louis,Rutabaga,1.54
St. Louis,Rutabaga,4.25
St. Louis,Rutabaga,3.33
Minneapolis,Beetroot,2.5
Minneapolis,Jicama,1.64
St. Louis,Rutabaga,2.82
St. Louis,Jicama,3.36
St. Louis,Jicama,3.14
