destination,type,weight
St. Louis,Rutabaga,1.73
Minneapolis,Beetroot,1.81
St. Louis,Rutabaga,3.7
St. Louis,Taro,2.13
St. Louis,Jicama,3.34
St. Louis,Rutabaga,2.97
St. Louis,Rutabaga,3.63
St. Louis,Yam,4.28
Minneapolis,Rutabaga,1.89
St. Louis,Jicama,1.36
Minneapolis,Beetroot,2.25
Minneapolis,Beetroot,2.47
St. Louis,Beetroot,0.59
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,2.81
St. Louis,Jicama,1.32
St. Louis,Beetroot,0.74
Minneapolis,Rutabaga,1.51
St. Louis,Beetroot,0.1
Minneapolis,Beetroot,1.26
St. Louis,Jicama,3.0
St. Louis,Beetroot,0.1
St. Louis,Taro,0.41
Minneapolis,Beetroot,0.45
St. Louis,Beetroot,0.16
St. Louis,Rutabaga,4.41
St. Louis,Taro,1.86
St. Louis,Rutabaga,2.85
St. Louis,Rutabaga,2.81
St. Louis,Jicama,0.26
St. Louis,Taro,1.57
St. Louis,Beetroot,1.34
Minneapolis,Yam,2.03
St. Louis,Beetroot,1.35
Minneapolis,Jicama,2.23
Minneapolis,Rutabaga,3.94
St. Louis,Taro,0.1
Minneapolis,Taro,0.1
St. Louis,Rutabaga,2.04
St. Louis,Rutabaga,3.73
St. Louis,Rutabaga,3.23
St. Louis,Jicama,1.94
Minneapolis,Rutabaga,3.6
St. Louis,Rutabaga,2.89
St. Louis,Beetroot,1.88
St. Louis,Rutabaga,3.12
Minneapolis,Taro,1.48
St. Louis,Rutabaga,4.62
Minneapolis,Rutabaga,3.76
St. Louis,Jicama,2.15
St. Louis,Jicama,4.02
Minneapolis,Yam,2.68
St. Louis,Jicama,2.04
St. Louis,Rutabaga,4.0
Minneapolis,Taro,1.73
St. Louis,Beetroot,1.29
St. Louis,Taro,0.1
St. Louis,Jicama,2.03
St. Louis,Rutabaga,2.28
Minneapolis,Beetroot,1.11
Minneapolis,Beetroot,0.47
St. Louis,Yam,4.43
Minneapolis,Rutabaga,1.58
St. Louis,Beetroot,1.54
Minneapolis,Jicama,0.77
St. Louis,Beetroot,0.21
St. Louis,Jicama,0.81
St. Louis,Yam,4.11
St. Louis,Beetroot,0.1
St. Louis,Jicama,1.0
St. Louis,Rutabaga,3.53
Minneapolis,Rutabaga,3.51
St. Louis,Jicama,0.7
St. Louis,Rutabaga,3.26
St. Louis,Beetroot,2.47
St. Louis,Beetroot,0.42
Minneapolis,Rutabaga,1.8
Minneapolis,Beetroot,2.13
St. Louis,Jicama,1.96
Minneapolis,Rutabaga,4.07
St. Louis,Beetroot,3.78
St. Louis,Rutabaga,1.79
Minneapolis,Jicama,2.4
St. Louis,Jicama,4.14
Minneapolis,Jicama,3.28
St. Louis,Beetroot,0.83
Minneapolis,Rutabaga,2.51
St. Louis,Rutabaga,3.93
St. Louis,Rutabaga,3.69
St. Louis,Jicama,1.76
Minneapolis,Rutabaga,3.28
Minneapolis,Jicama,2.12
Minneapolis,Beetroot,0.43
St. Louis,Yam,1.99
St. Louis,Jicama,0.7
St. Louis,Beetroot,1.19
St. Louis,Beetroot,1.52
St. Louis,Jicama,1.7
Minneapolis,Jicama,2.51
Minneapolis,Yam,3.88
