destination,type,weight
St. Louis,Yam,3.18
Minneapolis,Beetroot,0.44
St. Louis,Taro,0.91
St. Louis,Jicama,1.55
Minneapolis,Rutabaga,1.39
St. Louis,Beetroot,1.68
Minneapolis,Beetroot,1.53
Minneapolis,Taro,3.59
St. Louis,Rutabaga,3.72
St. Louis,Jicama,2.81
St. Louis,Beetroot,0.7
St. Louis,Yam,3.76
St. Louis,Jicama,2.21
St. Louis,Rutabaga,0.97
St. Louis,Beetroot,0.1
St. Louis,Jicama,3.5
Minneapolis,Taro,0.7
St. Louis,Jicama,1.05
St. Louis,Beetroot,0.22
Minneapolis,Rutabaga,2.03
St. Louis,Rutabaga,2.15
St. Louis,Rutabaga,3.72
St. Louis,Taro,2.43
St. Louis,Rutabaga,2.88
Minneapolis,Beetroot,0.68
Minneapolis,Rutabaga,2.07
St. Louis,Beetroot,1.86
St. Louis,Beetroot,1.14
St. Louis,Jicama,2.71
Minneapolis,Beetroot,1.55
Minneapolis,Beetroot,0.1
Minneapolis,Rutabaga,4.1
St. Louis,Beetroot,0.72
Minneapolis,Rutabaga,2.76
St. Louis,Beetroot,0.6
Minneapolis,Beetroot,1.02
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,2.93
St. Louis,Rutabaga,4.81
St. Louis,Taro,2.22
St. Louis,Rutabaga,3.79
St. Louis,Beetroot,0.71
St. Louis,Jicama,2.44
St. Louis,Beetroot,2.2
St. Louis,Beetroot,0.97
Minneapolis,Rutabaga,4.49
St. Louis,Jicama,1.28
St. Louis,Jicama,2.22
St. Louis,Beetroot,1.61
Minneapolis,Rutabaga,1.62
St. Louis,Jicama,2.66
St. Louis,Rutabaga,3.43
St. Louis,Beetroot,0.1
Minneapolis,Rutabaga,3.2
Minneapolis,Beetroot,0.1
St. Louis,Rutabaga,3.14
St. Louis,Rutabaga,3.72
Minneapolis,Rutabaga,3.11
St. Louis,Jicama,2.65
Minneapolis,Jicama,2.92
Minneapolis,Yam,1.92
Minneapolis,Yam,1.82
St. Louis,Jicama,2.27
St. Louis,Beetroot,0.26
St. Louis,Jicama,2.44
St. Louis,Yam,4.14
St. Louis,Beetroot,0.27
Minneapolis,Jicama,1.46
St. Louis,Rutabaga,2.12
St. Louis,Beetroot,1.85
St. Louis,Rutabaga,3.47
Minneapolis,Jicama,3.41
St. Louis,Jicama,1.96
St. Louis,Yam,3.2
St. Louis,Beetroot,0.18
St. Louis,Beetroot,0.41
St. Louis,Beetroot,1.24
St. Louis,Rutabaga,3.54
St. Louis,Taro,1.56
St. Louis,Rutabaga,3.88
Minneapolis,Rutabaga,3.47
St. Louis,Rutabaga,3.46
St. Louis,Beetroot,0.78
St. Louis,Jicama,2.58
St. Louis,Rutabaga,2.42
St. Louis,Rutabaga,3.77
Minneapolis,Yam,2.1
St. Louis,Beetroot,0.65
St. Louis,Rutabaga,2.4
St. Louis,Jicama,1.43
Minneapolis,Rutabaga,3.09
St. Louis,Beetroot,1.38
Minneapolis,Beetroot,0.99
St. Louis,Jicama,1.51
Minneapolis,Jicama,1.56
St. Louis,Rutabaga,2.4
St. Louis,Beetroot,0.1
St. Louis,Jicama,0.47
St. Louis,Jicama,3.65
St. Louis,Jicama,3.07
