destination,type,weight
Minneapolis,Rutabaga,3.35
St. Louis,Beetroot,1.64
St. Louis,Yam,4.81
Minneapolis,Jicama,1.58
St. Louis,Beetroot,2.52
St. Louis,Beetroot,1.89
St. Louis,Yam,1.52
St. Louis,Yam,2.67
Minneapolis,Beetroot,0.74
St. Louis,Beetroot,0.44
St. Louis,Rutabaga,3.65
St. Louis,Rutabaga,3.47
St. Louis,Rutabaga,5.23
Minneapolis,Rutabaga,3.14
St. Louis,Beetroot,1.67
St. Louis,Rutabaga,2.34
St. Louis,Beetroot,0.1
Minneapolis,Jicama,2.36
St. Louis,Rutabaga,2.56
Minneapolis,Rutabaga,3.7
St. Louis,Taro,1.36
Minneapolis,Rutabaga,2.26
Minneapolis,Rutabaga,2.55
St. Louis,Beetroot,0.1
Minneapolis,Yam,2.87
Minneapolis,Rutabaga,3.39
St. Louis,Jicama,2.81
St. Louis,Jicama,0.79
St. Louis,Rutabaga,5.06
St. Louis,Jicama,1.94
St. Louis,Rutabaga,3.76
Minneapolis,Rutabaga,2.93
St. Louis,Rutabaga,2.95
Minneapolis,Rutabaga,2.64
St. Louis,Yam,4.39
St. Louis,Yam,3.23
Minneapolis,Beetroot,1.76
Minneapolis,Jicama,1.73
St. Louis,Yam,3.98
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,2.48
St. Louis,Rutabaga,2.68
St. Louis,Rutabaga,3.11
Minneapolis,Jicama,2.86
Minneapolis,Rutabaga,2.43
Minneapolis,Jicama,2.24
St. Louis,Beetroot,0.1
Minneapolis,Jicama,0.73
St. Louis,Taro,2.41
St. Louis,Beetroot,1.84
St. Louis,Jicama,2.53
Minneapolis,Jicama,3.35
St. Louis,Rutabaga,2.57
Minneapolis,Rutabaga,1.7
St. Louis,Beetroot,0.51
St. Louis,Taro,1.04
Minneapolis,Yam,0.32
Minneapolis,Beetroot,0.47
St. Louis,Beetroot,1.53
St. Louis,Jicama,2.53
St. Louis,Jicama,1.85
St. Louis,Yam,3.23
St. Louis,Taro,0.5
St. Louis,Rutabaga,4.24
St. Louis,Taro,0.38
St. Louis,Jicama,1.54
Minneapolis,Beetroot,2.1
St. Louis,Taro,0.1
St. Louis,Beetroot,0.1
Minneapolis,Yam,1.04
St. Louis,Jicama,1.14
St. Louis,Beetroot,0.52
St. Louis,Beetroot,0.1
St. Louis,Jicama,2.25
St. Louis,Rutabaga,3.74
St. Louis,Jicama,1.27
St. Louis,Beetroot,0.23
St. Louis,Rutabaga,2.88
St. Louis,Taro,0.64
St. Louis,Beetroot,1.56
Minneapolis,Rutabaga,3.59
St. Louis,Rutabaga,3.18
St. Louis,Jicama,1.15
St. Louis,Jicama,1.9
St. Louis,Rutabaga,3.94
St. Louis,Rutabaga,3.0
St. Louis,Rutabaga,3.18
Minneapolis,Jicama,2.27
St. Louis,Rutabaga,5.47
St. Louis,Beetroot,1.73
St. Louis,Jicama,2.82
St. Louis,Rutabaga,3.13
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,3.0
St. Louis,Jicama,1.25
St. Louis,Rutabaga,2.81
Minneapolis,Rutabaga,1.84
St. Louis,Jicama,1.32
Minneapolis,Rutabaga,3.41
St. Louis,Beetroot,0.48
